1636,천년파란초,600000


;광물
1700,은가루,1000
1701,금가루,5000
1702,철가루,500
1703,철괴,5000
1704,마나석가루,5000
1705,마나석,100000
1706,수정석,10000
1707,유라구슬,500
1708,은괴,10000
1709,금괴,50000
1710,보석가루,10000
1711,보석,100000

;낚시
1751,피라미A,50
1752,피라미B,50
1753,피라미C,50
1754,노래미,100
1755,고등어,300
1756,납짝미,5000
1757,쌍볼복어,5000
1758,장어,3000
1759,자라,6000
1760,플라스틱,5
1761,썩은가죽장화,100

;사냥
1801,돼지고기,200
1802,돼지방광,500
1803,녹용,2000
1804,늑대가죽,500
1805,밍크토끼가죽,3000

;전투 전리품
1901,자이언트랫 이빨,30
1911,곱등린 귀,100
1915,코볼트 이빨,200
1920,옼으 좆,300

;1951,박쥐이빨,100
;1952,도마뱀비늘,200
;1905,거적때기 천,50
;1906,수정체,500
;1812,유닠온뿔,50000
;1813,녹지않는얼음,1000000
;1814,겁화의심장,1000000
;1815,환영가루,3000
;1816,왁왁이번날개피막,4500
;1817,다리뼈,100
;1818,봉함된영혼수정구,5000
;1819,용의이빨,1000000
;1820,용의비늘,1000000
;1821,녹슨무기,1000
;1822,망가진무기,2000
;1823,슬라임체액,500


;잡템
2001,돌,10
2002,목재,10
2003,철조각,100


;제작연금
2501,영혼수집수정구,1
2502,수통,2000
2503,멋진수통,5000
2504,보석목걸이,200000
2505,강화석,1000
2506,강화보호부적,30000
2507,파괴보호부적,100000
2508,저주한방,100000



2999,없음,1


